"Name","DisplayName","Status","StartType","Time"
"GameInputSvc","GameInput Service","Stopped","Manual","04-22-2024 14:09:31"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","04-22-2024 14:09:31"
"GoogleUpdaterInternalService125.0.6407.0","GoogleUpdater InternalService 125.0.6407.0 (GoogleUpdaterInternalService125.0.6407.0)","Stopped","Automatic","04-22-2024 14:09:31"
"GoogleUpdaterService125.0.6407.0","GoogleUpdater Service 125.0.6407.0 (GoogleUpdaterService125.0.6407.0)","Stopped","Automatic","04-22-2024 14:09:31"
"gpsvc","Group Policy Client","Running","Automatic","04-22-2024 14:09:31"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","04-22-2024 14:09:31"
"hidserv","Human Interface Device Service","Running","Manual","04-22-2024 14:09:31"
"hns","Host Network Service","Running","Manual","04-22-2024 14:09:31"
"HvHost","HV Host Service","Running","Manual","04-22-2024 14:09:32"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","04-22-2024 14:09:32"
"igccservice","Intel(R) Graphics Command Center Service","Running","Automatic","04-22-2024 14:09:32"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Running","Automatic","04-22-2024 14:09:32"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual","04-22-2024 14:09:32"
"InstallService","Microsoft Store Install Service","Running","Manual","04-22-2024 14:09:32"
"Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Capability Licensing Service TCP IP Interface","Stopped","Manual","04-22-2024 14:09:32"
"Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service","Stopped","Automatic","04-22-2024 14:09:32"
"iphlpsvc","IP Helper","Running","Automatic","04-22-2024 14:09:32"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","04-22-2024 14:09:32"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Automatic","04-22-2024 14:09:32"
"KeyIso","CNG Key Isolation","Running","Manual","04-22-2024 14:09:32"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","04-22-2024 14:09:32"
"LanmanServer","Server","Running","Automatic","04-22-2024 14:09:32"
"LanmanWorkstation","Workstation","Running","Automatic","04-22-2024 14:09:32"
"lfsvc","Geolocation Service","Stopped","Manual","04-22-2024 14:09:32"
"LicenseManager","Windows License Manager Service","Running","Manual","04-22-2024 14:09:32"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","04-22-2024 14:09:32"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","04-22-2024 14:09:32"
"LMS","Intel(R) Management and Security Application Local Management Service","Running","Automatic","04-22-2024 14:09:32"
"LSM","Local Session Manager","Running","Automatic","04-22-2024 14:09:32"
"LxpSvc","Language Experience Service","Stopped","Manual","04-22-2024 14:09:32"
"LxssManager","LxssManager","Running","Manual","04-22-2024 14:09:32"
"LxssManagerUser_94919","LxssManagerUser_94919","Stopped","Manual","04-22-2024 14:09:32"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic","04-22-2024 14:09:32"
"McpManagementService","McpManagementService","Stopped","Manual","04-22-2024 14:09:32"
"MessagingService_94919","MessagingService_94919","Stopped","Manual","04-22-2024 14:09:32"
